,index,PhotoID,UploadedDate,Upper/Lower,dominant_colors,image,scores,style,type
42,0,22,2018/6/29,Upperbody,slategray,36373776_1778369642241900_2673986169645039616_n.jpg,0.98419964,Regular,T-Shirt
43,1,22,2018/6/29,LowerBody,dimgrey,36373776_1778369642241900_2673986169645039616_n.jpg,0.0017872942,Regular,Short
44,0,23,2018/6/24,Upperbody,darkslategrey,36025793_10156469028971950_4422332218995638272_n.jpg,0.824135,Regular,T-Shirt
45,1,23,2018/6/24,LowerBody,dimgrey,36025793_10156469028971950_4422332218995638272_n.jpg,0.02721944,Regular,Short
46,0,24,2018/6/3,Upperbody,darkslategrey,34439602_1830352177062546_2326564375285989376_n.jpg,0.69675136,Regular,Shirt
47,1,24,2018/6/3,LowerBody,darkgray,34439602_1830352177062546_2326564375285989376_n.jpg,0.0058377287,Regular,Short
48,0,25,2018/5/31,Upperbody,darksalmon,34078431_10156406618916950_8290527199115608064_n.jpg,0.1835897,Regular,Suit
49,1,25,2018/5/31,LowerBody,darkslategrey,34078431_10156406618916950_8290527199115608064_n.jpg,0.02812384,Denim,trouser
50,0,26,2018/5/26,Upperbody,darkslategrey,33769778_1731755766903288_5752636328193818624_n.jpg,0.5800896,Regular,T-Shirt
51,1,26,2018/5/26,LowerBody,darkslategrey,33769778_1731755766903288_5752636328193818624_n.jpg,0.079016864,Regular,Short
52,0,27,2018/5/3,Upperbody,lightslategrey,31944183_10156334587721950_3116111675053309952_n.jpg,0.0743681,Regular,Coat
53,1,27,2018/5/3,LowerBody,dimgrey,31944183_10156334587721950_3116111675053309952_n.jpg,0.06583066,Regular,Short
54,0,28,2018/4/28,Upperbody,dimgrey,31444866_10156321240601950_8817236497666146304_n.jpg,0.65013164,Regular,Coat
55,1,28,2018/4/28,LowerBody,darkslategrey,31444866_10156321240601950_8817236497666146304_n.jpg,0.030663418,Regular,Short
56,0,29,2018/4/23,Upperbody,sienna,31154170_10156309476831950_6765979298420490240_n.jpg,0.79617786,Regular,T-Shirt
57,1,29,2018/4/23,LowerBody,steelblue,31154170_10156309476831950_6765979298420490240_n.jpg,0.056297816,Regular,Short
58,0,30,2018/3/31,Upperbody,sienna,29594919_1675303379215194_1646099507784231873_n.jpg,0.95058525,Regular,T-Shirt
59,1,30,2018/3/31,LowerBody,grey,29594919_1675303379215194_1646099507784231873_n.jpg,0.038907986,Regular,Short
