,index,PhotoID,UploadedDate,Upper/Lower,dominant_colors,image,scores,style,type
16,0,9,12/17/2018,Upperbody,cyan,48954544_2484158805144819_7318824142982086656_o.jpg,0.7238068,Regular,Suit
17,1,9,12/17/2018,LowerBody,black,48954544_2484158805144819_7318824142982086656_o.jpg,0.38617733,Regular,trouser
18,0,10,12/17/2018,Upperbody,white,48393763_10156898174911950_7707817668828463104_o.jpg,0.66187406,Regular,Suit
19,1,10,12/17/2018,LowerBody,black,48393763_10156898174911950_7707817668828463104_o.jpg,0.13690093,Regular,trouser
20,0,11,11/30/2018,LowerBody,black,47185497_10156856659746950_3614273769096347648_n.jpg,0.5819024,Denim,trouser
21,1,11,11/30/2018,Upperbody,black,47185497_10156856659746950_3614273769096347648_n.jpg,0.43890965,LongSleeves,Shirt
22,0,12,11/10/2018,Upperbody,black,45742636_10156808683571950_5704868814324236288_n.jpg,0.7021846,Regular,T-Shirt
23,1,12,11/10/2018,LowerBody,white,45742636_10156808683571950_5704868814324236288_n.jpg,0.096217476,Denim,trouser
24,0,13,11/10/2018,Upperbody,black,45721206_2384660734942666_9222704444318154752_n.jpg,0.20673649,Regular,T-Shirt
25,1,13,11/10/2018,LowerBody,blue,45721206_2384660734942666_9222704444318154752_n.jpg,0.09734621,Denim,trouser
26,0,14,10/23/2018,LowerBody,blue,44654925_10156766793051950_4350838983660404736_n.jpg,0.45388976,Denim,trouser
27,1,14,10/23/2018,Upperbody,black,44654925_10156766793051950_4350838983660404736_n.jpg,0.36181885,Regular,T-Shirt
28,0,15,8/8/2018,Upperbody,red,38834062_2611664652193005_2228746632558542848_n.jpg,0.08574094,Regular,T-Shirt
29,1,15,8/8/2018,LowerBody,yellow,38834062_2611664652193005_2228746632558542848_n.jpg,0.032895524,Slim,trouser
30,0,16,7/28/2018,LowerBody,red,37978451_523939368039581_1028317786021036032_n.jpg,0.23742875,Regular,Short
31,1,16,7/28/2018,Upperbody,blue,37978451_523939368039581_1028317786021036032_n.jpg,0.19703077,Regular,Suit
32,0,17,7/28/2018,Upperbody,black,37829981_523928478040670_9002808707242786816_n.jpg,0.4272279,Regular,T-Shirt
33,1,17,7/28/2018,LowerBody,white,37829981_523928478040670_9002808707242786816_n.jpg,0.024675872,Denim,trouser
34,0,18,7/21/2018,LowerBody,blue,37500571_514357528997765_1578144406739877888_n.jpg,0.53671384,Slim,trouser
35,1,18,7/21/2018,Upperbody,blue,37500571_514357528997765_1578144406739877888_n.jpg,0.1608069,LongSleeves,Shirt
36,0,19,7/22/2018,Upperbody,blue,37601702_10156536335631950_2751351840749649920_n.jpg,0.6360863,Regular,T-Shirt
37,1,19,7/22/2018,LowerBody,red,37601702_10156536335631950_2751351840749649920_n.jpg,0.03733742,Regular,trouser
38,0,20,7/21/2018,Upperbody,blue,37575227_514263875673797_6330417430753443840_n.jpg,0.2752002,Polo,Shirt
39,1,20,7/21/2018,LowerBody,black,37575227_514263875673797_6330417430753443840_n.jpg,0.07226667,Denim,trouser
40,0,21,6/29/2018,Upperbody,black,36321788_1778370122241852_1915064275915767808_n.jpg,0.22736874,LongSleeves,Shirt
41,1,21,6/29/2018,LowerBody,cyan,36321788_1778370122241852_1915064275915767808_n.jpg,0.07937162,Denim,trouser
42,0,22,6/29/2018,Upperbody,white,36373776_1778369642241900_2673986169645039616_n.jpg,0.50266546,Regular,T-Shirt
43,1,22,6/29/2018,LowerBody,blue,36373776_1778369642241900_2673986169645039616_n.jpg,0.07659874,Denim,trouser
44,0,23,6/24/2018,Upperbody,black,36025793_10156469028971950_4422332218995638272_n.jpg,0.30225292,Regular,T-Shirt
45,1,23,6/24/2018,LowerBody,white,36025793_10156469028971950_4422332218995638272_n.jpg,0.17218043,Denim,trouser
46,0,24,6/3/2018,Upperbody,white,34439602_1830352177062546_2326564375285989376_n.jpg,0.5123621,LongSleeves,Shirt
47,1,24,6/3/2018,LowerBody,white,34439602_1830352177062546_2326564375285989376_n.jpg,0.056381896,Denim,trouser
48,0,25,5/31/2018,Upperbody,black,34078431_10156406618916950_8290527199115608064_n.jpg,0.38225684,Regular,Suit
49,1,25,5/31/2018,LowerBody,white,34078431_10156406618916950_8290527199115608064_n.jpg,0.3652073,Denim,trouser
50,0,26,5/26/2018,LowerBody,black,33769778_1731755766903288_5752636328193818624_n.jpg,0.5352923,Denim,trouser
51,1,26,5/26/2018,Upperbody,black,33769778_1731755766903288_5752636328193818624_n.jpg,0.28536686,Regular,Suit
52,0,27,5/3/2018,LowerBody,black,31944183_10156334587721950_3116111675053309952_n.jpg,0.3871895,Denim,trouser
53,1,27,5/3/2018,Upperbody,black,31944183_10156334587721950_3116111675053309952_n.jpg,0.1429192,Regular,Suit
54,0,28,4/28/2018,Upperbody,white,31444866_10156321240601950_8817236497666146304_n.jpg,0.4442021,Regular,Suit
55,1,28,4/28/2018,LowerBody,black,31444866_10156321240601950_8817236497666146304_n.jpg,0.06859183,Regular,trouser
56,0,29,4/23/2018,Upperbody,white,31154170_10156309476831950_6765979298420490240_n.jpg,0.33861172,Regular,Suit
57,1,29,4/23/2018,LowerBody,cyan,31154170_10156309476831950_6765979298420490240_n.jpg,0.06650885,Denim,trouser
58,0,30,3/31/2018,Upperbody,yellow,29594919_1675303379215194_1646099507784231873_n.jpg,0.47407055,Regular,T-Shirt
59,1,30,3/31/2018,LowerBody,black,29594919_1675303379215194_1646099507784231873_n.jpg,0.0631683,Denim,trouser
